"id","position_id/id","tax_src_id/id","tax_dest_id/id"
"itrc1","itrc","22a","22art173a"
"intra1","intra","22a","22art38a"
"intra2","intra","22v","00art41v"
"esport8c1c_1","esport8c1c","22v","00art8cv"
"esport8c1a_1","esport8c1a","22v","00art8av"
"esport8c1b_1","esport8c1b","22v","00art8bv"
"benistatoestero_1","benistatoestero","22v","00art7b"
"servizistatoestero_1","servizistatoestero","22v","00art7t"
